datetime,open,high,low,close,volume
2026-03-24 09:30:00-04:00,651.3200073242188,653.585693359375,649.8800048828125,652.489990234375,17157140
2026-03-24 10:30:00-04:00,652.510009765625,656.8300170898438,651.219970703125,656.0399780273438,16069386
2026-03-24 11:30:00-04:00,656.0599975585938,657.030029296875,654.2999877929688,655.9600219726562,8078359
2026-03-24 12:30:00-04:00,655.969970703125,656.1199951171875,652.5499877929688,653.405029296875,8311009
2026-03-24 13:30:00-04:00,653.4000244140625,654.97998046875,652.3800048828125,654.5900268554688,10047322
2026-03-24 14:30:00-04:00,654.5900268554688,656.5900268554688,654.280029296875,654.4500122070312,9961652
2026-03-24 15:30:00-04:00,654.4500122070312,654.7750244140625,652.5599975585938,653.2000122070312,10043583
2026-03-25 09:30:00-04:00,658.6699829101562,660.8900146484375,655.6699829101562,658.1400146484375,22876212
2026-03-25 10:30:00-04:00,658.1599731445312,659.25,654.239990234375,657.8400268554688,14577535
2026-03-25 11:30:00-04:00,657.8499755859375,658.239990234375,656.010009765625,657.5,9552650
2026-03-25 12:30:00-04:00,657.4600219726562,658.3200073242188,656.9149780273438,658.02001953125,8735929
2026-03-25 13:30:00-04:00,658.0399780273438,659.3800048828125,657.3300170898438,657.5150146484375,8862246
2026-03-25 14:30:00-04:00,657.510009765625,657.8099975585938,655.5800170898438,656.510009765625,11503640
2026-03-25 15:30:00-04:00,656.510009765625,657.0599975585938,655.7550048828125,656.739990234375,9045207
2026-03-26 09:30:00-04:00,652.0599975585938,654.8400268554688,650.72998046875,653.6199951171875,19212415
2026-03-26 10:30:00-04:00,653.6199951171875,654.8499755859375,650.8200073242188,651.7100219726562,14863677
2026-03-26 11:30:00-04:00,651.7100219726562,652.3499755859375,649.2899780273438,649.469970703125,9677804
2026-03-26 12:30:00-04:00,649.4912719726562,650.0999755859375,648.8900146484375,649.10009765625,4577678
